time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1711545084382073600,14.811073486328125,-0.9120543003082275,-0.3408616781234741,0.081197589635849,0.21301937103271484,0.003834532806649804,-0.7159865498542786,2.684133529663086
1711545084392073700,14.82107373046875,-0.9119178056716919,-0.34081944823265076,0.08138053119182587,0.21360059082508087,0.0037461367901414633,-0.7159898281097412,2.6828255653381348
1711545084402073600,14.831073486328124,-0.9117090702056885,-0.3409811556339264,0.08181580156087875,0.21406681835651398,0.004242148716002703,-0.7165398001670837,2.681941270828247
1711545084412073700,14.84107373046875,-0.9114004373550415,-0.34143421053886414,0.08089818060398102,0.21500560641288757,0.0008500557742081583,-0.7170364260673523,2.6785688400268555
1711545084422075100,14.8510751953125,-0.9109375476837158,-0.34233906865119934,0.08035574108362198,0.21573063731193542,-0.0017376496689394116,-0.7186504006385803,2.6758627891540527
1711545084432075000,14.861074951171876,-0.9101516604423523,-0.3441757559776306,0.08048868924379349,0.2160753458738327,-0.0029620900750160217,-0.7225338220596313,2.6742920875549316
1711545084442075000,14.871074951171876,-0.9094469547271729,-0.34588882327079773,0.08055003732442856,0.21628409624099731,-0.004157182294875383,-0.7261268496513367,2.673049211502075
1711545084452075000,14.881074951171875,-0.9087252020835876,-0.3477410078048706,0.08108557015657425,0.2161477506160736,-0.003970274701714516,-0.7302488088607788,2.67303729057312
1711545084462060500,14.891060546875,-0.90818852186203,-0.34918349981307983,0.0816587433218956,0.21586187183856964,-0.003268309636041522,-0.7335394024848938,2.6736292839050293
1711545084472070400,14.9010703125,-0.90771484375,-0.35049840807914734,0.08207755535840988,0.21556420624256134,-0.002839794149622321,-0.7364892363548279,2.6741750240325928
1711545084482076000,14.911075927734375,-0.9073625206947327,-0.3515111207962036,0.08246064186096191,0.21525202691555023,-0.0022773160599172115,-0.7387924790382385,2.67486572265625
1711545084492063000,14.92106298828125,-0.9070910811424255,-0.3523251712322235,0.08278941363096237,0.21493881940841675,-0.0017094733193516731,-0.7406548857688904,2.6756033897399902
1711545084502080500,14.93108056640625,-0.9066359996795654,-0.35371729731559753,0.08284717053174973,0.21454975008964539,-0.0021132933907210827,-0.7435909509658813,2.676030397415161
1711545084512075800,14.94107568359375,-0.9064193964004517,-0.3544035255908966,0.08261825144290924,0.21442073583602905,-0.003005338367074728,-0.744911253452301,2.675842761993408
1711545084522275800,14.95127587890625,-0.9062314033508301,-0.35506585240364075,0.08221124857664108,0.21427592635154724,-0.004302208311855793,-0.7460938096046448,2.6755428314208984
1711545084532075800,14.96107568359375,-0.9061349630355835,-0.3555733561515808,0.08157841116189957,0.21408404409885406,-0.006000090390443802,-0.7468412518501282,2.675229072570801
1711545084542060300,14.971060302734376,-0.9061548113822937,-0.35586386919021606,0.0807361975312233,0.21383631229400635,-0.00800632406026125,-0.7470320463180542,2.6749699115753174
1711545084552073500,14.981073486328125,-0.906247079372406,-0.3560228943824768,0.0798652395606041,0.2135075330734253,-0.009910386987030506,-0.7469351887702942,2.674957036972046
1711545084562069800,14.99106982421875,-0.9063910245895386,-0.35607069730758667,0.07915730029344559,0.21307994425296783,-0.011238347738981247,-0.746688723564148,2.675403356552124
1711545084572073700,15.00107373046875,-0.9065537452697754,-0.3560687005519867,0.07868187129497528,0.2125665843486786,-0.0118759386241436,-0.7464556097984314,2.6763083934783936
1711545084582073900,15.011073974609374,-0.906700849533081,-0.35607799887657166,0.07841172069311142,0.21202275156974792,-0.011988370679318905,-0.7463486790657043,2.6774744987487793
1711545084592073700,15.02107373046875,-0.906779408454895,-0.35622477531433105,0.07839081436395645,0.21144720911979675,-0.011552715674042702,-0.7466525435447693,2.6788852214813232
1711545084602073300,15.0310732421875,-0.9066160321235657,-0.3569658696651459,0.07878085225820541,0.2107519805431366,-0.010391545481979847,-0.7484017014503479,2.6807048320770264
1711545084612074800,15.04107470703125,-0.9064604043960571,-0.35768118500709534,0.07916747033596039,0.2100623995065689,-0.009221229702234268,-0.7500945329666138,2.682523250579834
1711545084622075000,15.051074951171875,-0.9060786962509155,-0.35898715257644653,0.07969789206981659,0.209279403090477,-0.007993911392986774,-0.7530942559242249,2.684447765350342
1711545084632074800,15.06107470703125,-0.905746579170227,-0.36020928621292114,0.08015178143978119,0.2084420621395111,-0.00683165667578578,-0.7558819055557251,2.6864912509918213
