time,seconds_elapsed,z,y,x
1711545084651563000,15.08056298828125,7.128932476043701,6.731200695037842,-0.19909228384494781
1711545084670445600,15.099445556640624,7.12896203994751,6.730721950531006,-0.21368032693862915
1711545084689328000,15.118328125,7.138651371002197,6.720003604888916,-0.22716712951660156
1711545084708210700,15.137210693359375,7.159592628479004,6.697329998016357,-0.23746469616889954
1711545084727093200,15.15609326171875,7.186421871185303,6.6682634353637695,-0.24492424726486206
1711545084745975800,15.174975830078125,7.209775447845459,6.642877101898193,-0.2483866959810257
1711545084764858400,15.1938583984375,7.224691867828369,6.626570224761963,-0.25056183338165283
1711545084783741000,15.212740966796876,7.232940673828125,6.617529392242432,-0.25150221586227417
1711545084802623500,15.23162353515625,7.240286827087402,6.609569549560547,-0.24942414462566376
1711545084821506000,15.250506103515624,7.253902912139893,6.594963550567627,-0.24031490087509155
1711545084840388600,15.269388671875,7.273787975311279,6.573419570922852,-0.22925105690956116
1711545084859271200,15.288271240234375,7.29340934753418,6.552139759063721,-0.21455492079257965
1711545084878153700,15.30715380859375,7.31038761138916,6.5338897705078125,-0.19208115339279175
1711545084897036300,15.326036376953125,7.32155179977417,6.522100925445557,-0.165743887424469
1711545084915918800,15.3449189453125,7.325166702270508,6.518696308135986,-0.13755734264850616
1711545084934801400,15.363801513671875,7.326259613037109,6.518020153045654,-0.10830584168434143
1711545084953684000,15.38268408203125,7.330282688140869,6.513763904571533,-0.09061412513256073
1711545084972566500,15.40156640625,7.336287498474121,6.507018089294434,-0.0893927812576294
1711545084991449000,15.420448974609375,7.344986438751221,6.497151851654053,-0.09261025488376617
1711545085010331600,15.43933154296875,7.356879711151123,6.483602046966553,-0.09808789193630219
1711545085029214200,15.458214111328125,7.372483253479004,6.465811729431152,-0.10078601539134979
1711545085048096800,15.4770966796875,7.40027379989624,6.434309482574463,-0.07749155908823013
1711545085066979300,15.495979248046876,7.451723575592041,6.375104904174805,-0.01567705348134041
1711545085085862000,15.51486181640625,7.526493072509766,6.286192417144775,0.07784444838762283
1711545085104744400,15.533744384765624,7.610239505767822,6.182398796081543,0.18050532042980194
1711545085123627000,15.552626953125,7.679323673248291,6.093565940856934,0.2585071325302124
1711545085142509600,15.571509521484375,7.709933280944824,6.0539631843566895,0.27720701694488525
1711545085161392000,15.59039208984375,7.695141792297363,6.074350357055664,0.2396697700023651
1711545085180274700,15.609274658203125,7.651735305786133,6.130807399749756,0.18583844602108002
1711545085199157200,15.6281572265625,7.604729652404785,6.190168380737305,0.14240792393684387
1711545085218039800,15.647039794921875,7.570926189422607,6.231996536254883,0.11699683964252472
